poiid,title,address,lon,lat,city,category_sec,DaLei,Power
B2094753D369A0FF4499,中国农业银行(西环路分理处),近郊西环南路166号,114.02642,38.06897,0311,银行,商业服务业设施用地,40
B209475DD76EA5F4429F,河北清凉山,,114.018506,38.073659,0311,一般景点,绿地与广场用地,50
B2094455D765A1FE4092,吟风56,河北省 石家庄市 矿区,114.03626,38.11198,0311,生活娱乐,商业服务业设施用地,4
B2094455DA6BA2FB499D,自己的窝,河北省 石家庄市 石家庄井陉矿区贾庄,114.04285,38.10496,0311,一般地点标志,未知,0
B2094457D36FA3F44393,狮子坪,河北省 石家庄市 石家庄平山,113.92453,38.13759,0311,出行住宿,商业服务业设施用地,4
B2094457D169A6F54098,地球,河北省 石家庄市 地球,114.01206,38.11808,0311,一般地点标志,未知,0
B2094450D26CAAF54498,来自lphone6,河北省 石家庄市 石家庄,113.9499,38.12727,0311,校园生活,公共管理与公共服务设施用地,50
B2094450D065AAF8449D,又是你的面孔,河北省 石家庄市 北京,114.04188,38.05969,0311,生活娱乐,商业服务业设施用地,4
B2094450D16CA4FF469C,石家庄一中东校区,河北省 石家庄市 湘江道168号,114.02115,38.12061,0311,校园生活,公共管理与公共服务设施用地,50
B2094656D365A4FA4393,仙台山宾馆,,113.84043,38.11516,0311,公园户外,绿地与广场用地,60
B2094751D36BAAF44693,明目泉,,113.826926,38.115765,0311,一般景点,绿地与广场用地,50
B2094751D36BAAF44692,舍身崖,,113.827539,38.116018,0311,一般景点,绿地与广场用地,50
B2094753D06AA2FA459D,辛庄乡东西坪卫生院,近郊井陉县东西坪,113.89622,38.13957,0311,医院,公共管理与公共服务设施用地,90
B2094753D06AA2FE4499,宏达加油站,近郊井陉矿区辛庄乡栾庄村,113.91475,38.10306,0311,加油站,道路与交通设施用地,20
B2094450D064ABF8479E,达柯村,河北省 石家庄市 河北省井陉县辛庄乡达柯村,113.88607,38.07317,0311,一般地点标志,未知,0
B2094455DB6DA2F84598,刘星雨,河北省 石家庄市 河北,113.96057,37.95383,0311,生活娱乐,商业服务业设施用地,4
B2094457D16AA7FA499B,哆啦A梦的世界,河北省 石家庄市 快乐星球,113.93489,37.93783,0311,一般地点标志,未知,0
B2094656D06CA2FA4593,窦王墓,,114.24317,37.96055,0311,公交车站,道路与交通设施用地,20
B2094753D06AA4F54192,南王庄乡芦庄卫生院,桥东区南芦庄,114.19071,37.89655,0311,医院,公共管理与公共服务设施用地,90
B2094753D06AA2F94799,井陉县胡家峪卫生所,近郊井陉县胡家峪,114.21125,37.97919,0311,医院,公共管理与公共服务设施用地,90
B2094456D06AA3FE499C,南京,河北省 石家庄市 石家庄市大饭店,114.27178,37.87763,0311,购物服务,商业服务业设施用地,20
B2094457D16BA3FC4498,123,河北省 石家庄市 一直走,114.22926,37.9728,0311,一般地点标志,未知,0
B2094450D069A6F8449C,军需学院,河北省 石家庄市 邢台市桥西区钢铁北路,114.27293,37.95073,0311,校园生活,公共管理与公共服务设施用地,50
B2094450D16FAAFF4699,歌词,河北省 石家庄市 哥哥,114.27151,37.88119,0311,出行住宿,商业服务业设施用地,4
B2094656D06CA2F9489C,彪村,,114.23226,37.96785,0311,公交车站,道路与交通设施用地,20
B2094656D06CA2F54598,吴家窑,,114.25646,37.96217,0311,公交车站,道路与交通设施用地,20
B2094656D364AAFC449F,甘陶河大桥,,114.09785,37.97799,0311,公园户外,绿地与广场用地,60
B2094656D364A0FE469C,千佛岩,,114.08144,37.89966,0311,公园户外,绿地与广场用地,60
B2094753D068A3FF499E,中国工商银行(建设南路支行),近郊井陉县城建设南路,114.09282,37.92724,0311,银行,商业服务业设施用地,40
B2094656D364AAFC4493,秀林收费站,,114.09154,37.97685,0311,收费站,道路与交通设施用地,20
B2094454D16BAAFF459D,石头村景区,河北省 石家庄市 河北省井陉县于家村,114.03471,37.94182,0311,生活娱乐,商业服务业设施用地,4
B2094455DB6CA2FF4793,洛杉矶,河北省 石家庄市 河北,114.09332,37.97846,0311,购物服务,商业服务业设施用地,20
B2094656D364AAFC449E,张家庄收费站,,114.1107,37.95024,0311,收费站,道路与交通设施用地,20
B2094456D06AA7F5409B,花果山,河北省 石家庄市 支沙口村,114.0132,37.89819,0311,公园户外,绿地与广场用地,60
B2094456D06AA7F4499C,花果山,河北省 石家庄市 支沙口村,114.01317,37.89817,0311,公园户外,绿地与广场用地,60
B2094456D064AAFF419D,于家石头文化古村,河北省 石家庄市 井陉于家石头村208号,114.03765,37.94847,0311,公园户外,绿地与广场用地,60
B2094457D16AA3F54799,樊家村,河北省 石家庄市 井陉县于家乡樊家村,114.03919,37.95013,0311,一般地点标志,未知,0
B2094450D16CAAFB419D,于家石头村,河北省 石家庄市 河北石家庄,114.03975,37.94215,0311,公园户外,绿地与广场用地,60
B2094450D669A5FA479E,石家庄鹿泉徐家庄,河北省 石家庄市 石家庄鹿泉徐家庄,114.03593,37.90068,0311,一般地点标志,未知,0
B2094450D76EABFC4692,于家石头村,河北省 石家庄市 井陉县于家乡,114.03934,37.94136,0311,一般地点标志,未知,0
B2094751D26FA1FD409E,大梁江,,113.979339,37.908763,0311,未知分类,未知,0
B2094656D364A0FA4193,蟠龙湖吉达度假村,蟠龙湖,114.4009,37.80295,0311,度假疗养场所,商业服务业设施用地,40
B2094656D364A0FA4192,蟠龙湖吉达度假村总服务台,蟠龙湖,114.40089,37.80295,0311,生活娱乐,商业服务业设施用地,4
B2094656D364A0FA419D,蟠龙湖吉达度假村保健中心,蟠龙湖,114.39913,37.80226,0311,美容美发店,商业服务业设施用地,2
B2094753D06BA7FA499C,东贾道班加油站,近郊元氏县东贾道班,114.41551,37.8007,0311,加油站,道路与交通设施用地,20
B2094753D06FA3F8459E,元氏县第二医院,近郊元氏县南佐镇(近元南宾馆),114.36468,37.8397,0311,医院,公共管理与公共服务设施用地,90
B2094753D06FA3FE469D,百货商店,近郊元氏县南佐镇车站对面,114.3646,37.8386,0311,便民商店/便利店,商业服务业设施用地,2
B2094753DA6EA2FB459F,月光溪谷,蟠龙湖区域,114.341197,37.825608,0311,住宅区,居住用地,70
B2094753DA6EA2FA4193,圣地亚水岸生活馆,蟠龙湖风景区,114.344587,37.824972,0311,住宅区,居住用地,70
