OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster,Ndist
9348,B2094751D265A3FB499D,阳光渔港,新华区中华北大街390号,114.4777,38.09823,311,海鲜酒楼,37,17,餐饮,中式餐饮,0,26.70112487994008
9349,B2094751D265A0FE459B,三五羊杂馆,新华区北二环红星街(肖家营小区对面),114.49515,38.10111,311,餐饮美食,0,0,餐饮,其它,0,6.225242975242691
9350,B2094751D36CA0FE469C,我的音乐酒吧,中山东路与建华大街交叉口西行150米路南,114.54923,38.04341,311,餐饮美食,364,181,餐饮,其它,0,0.0
9351,B2094757D469AAFE499E,活鱼烧烤,桥西区裕华路(大径街口),114.54565,38.03623,311,烧烤,0,0,餐饮,中式餐饮,0,0.0
9352,B2094757D46AA1F94798,蒸食上,长安区跃进路131号(翟营大街口),114.5529,38.04979,311,快餐厅,0,0,餐饮,小吃快餐,0,6.1294292154397025
9353,B2094757D46AA1F9479E,蜀香缘,桥东区东风路(休门街口),114.50902,38.02481,311,河北菜,0,0,餐饮,中式餐饮,0,102.5080933917495
9354,B2094757D46AA1F94899,开菲尔酸奶吧 翟营大街店,桥西区翟营大街(东岗路口),114.55492,38.01597,311,甜品店,0,0,餐饮,甜点饮品,0,0.0
9355,B2094757D46AA0F4489A,石门饺子王,长安区槐安东路与煤机街交叉口北行50米街西(近49路车站),114.54154,38.0224,311,快餐厅,0,0,餐饮,小吃快餐,0,0.0
9356,B2094757D46AA0F5419E,阳光大厦好世界餐厅,裕华东路与平安南大街交叉口南行50米街东,114.54565,38.03615,311,海鲜酒楼,0,0,餐饮,中式餐饮,0,0.0
9357,B2094757D46AA0F54299,滇菌王,桥东区中山东路与平安北大街交叉口北行10米路东,114.54923,38.04347,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9358,B2094757D46AA0F5469B,烧烤涮锅城,桥东区石纺路与胜利北街交叉口东行10米路南(近棉六站),114.50805,38.07721,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9359,B2094757D46AA0F5479D,华庭时尚商务酒店中餐厅,裕华区中山东路与建设南大街交叉口南100米(近北国商城),114.54923,38.04347,311,河北菜,0,0,餐饮,中式餐饮,0,0.0
9360,B2094757D46AA0F54899,美味斋红焖羊肉,桥东区东马路1号,114.50085,38.03814,311,河北菜,0,0,餐饮,中式餐饮,0,1.1119492658909769
9361,B2094757D46AA6FD419B,单县羊汤,裕华区体育大街(槐北路口),114.54391,38.09157,311,快餐厅,0,0,餐饮,小吃快餐,0,0.0
9362,B2094757D46AAAF8439F,重庆巴将军火锅,近郊正定县恒山西路10号,114.57013,38.15261,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9363,B2094757D46AAAF5409F,半边天熏肉大饼 和平路店,长安区和平路与建设大街交口向北150米路东,114.54961,38.0543,311,快餐厅,0,0,餐饮,小吃快餐,0,0.0
9364,B2094757D46AAAF54193,川蜀之味,桥东区中山东路北国商城B1楼食光隧道,114.54923,38.04347,311,四川菜,0,0,餐饮,中式餐饮,0,0.0
9365,B2094757D46BA7FC419E,香酥童子鸡,长安区育才街317号(近东港路),114.52899,38.02028,311,河北菜,0,0,餐饮,中式餐饮,0,54.49255543556589
9366,B2094757D46BA6FA439F,私家秘制烤全羊,长安区育才街华药一区4栋一单元101室(近谈北路),114.52849,38.05094,311,清真餐馆,0,0,餐饮,中式餐饮,0,52.84460386905374
9367,B2094757D46BA6FB4099,农夫生炒鸡,裕华区体育南大街361号(世纪公园南侧),114.53368,38.01584,311,四川菜,0,0,餐饮,中式餐饮,0,29.146425536471867
9368,B2094757D46BABFD409A,人防大厦宾馆中餐厅,桥东区槐中路与平安南大街交叉口东北角(近南八一车站),114.53691,38.02872,311,河北菜,0,0,餐饮,中式餐饮,0,0.0
9369,B2094757D46BABFD409D,小太阳餐厅,桥东区中山东路与大经街交叉口西行50米路南(近南三条),114.54923,38.04347,311,河北菜,0,0,餐饮,中式餐饮,0,0.0
9370,B2094757D46BABFD419E,雨丰美食园,桥东区石纺路与胜利北街交叉口南行150米街西(近运河桥客运站),114.50805,38.07721,311,河北菜,0,0,餐饮,中式餐饮,0,0.0
9371,B2094757D46BAAFC4493,大连鱿鱼,长安区煤机街,114.55076,38.02855,311,快餐厅,0,0,餐饮,小吃快餐,0,23.53137516493476
9372,B2094757D46AA6FD449F,吉品熟食,裕华区东岗路38号(世纪花园西门),114.53575,38.01544,311,快餐厅,0,0,餐饮,小吃快餐,0,109.5016771556893
9373,B2094757D46AA6FA429B,彩云追月麻辣香锅,裕华区翟营大街天元名品B2楼一马路26号(近塔北路),114.5551305,38.0095649,311,四川菜,0,0,餐饮,中式餐饮,0,0.5466132660716017
9374,B2094757D46AA6FA4299,天天渔庄,桥东区建设南大街6号西美百货南侧(近西美棒棒糖KTV),114.5115,38.04105,311,四川菜,0,0,餐饮,中式餐饮,0,0.0
9375,B2094757D46AA5F5469B,馋猫片片鱼,长安区范光胡同与中山路交叉口向南50米路西,114.51962,38.04308,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9376,B2094757D46AAAF84293,乐膳王麻辣烫 裕华东路店,长安区裕华东路(大经街口),114.54565,38.03623,311,快餐厅,0,0,餐饮,小吃快餐,0,0.0
9377,B2094757D76CABF44692,老柴削面,长安区健康路与建设北大街交叉口东行80米路南(近省四院),114.51098,38.0506,311,快餐厅,0,0,餐饮,小吃快餐,0,0.0
9378,B2094757D76CABF4479A,老马饺子城,桥东区东风路与建设南大街交叉口(近供水总公司),114.51218,38.02474,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0,104.3270913032575
9379,B2094757D76CABF44798,老马肉饼坊 裕华店,桥东区裕华路铁路党校100号(近平安公园),114.57041,38.14435,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0,0.0
9380,B2094757D76CABF4479C,全全饺子,桥东区石纺路与胜利北街交叉口西行500米路南(近银都花园),114.50805,38.07721,311,快餐厅,0,0,餐饮,小吃快餐,0,0.0
9381,B2094757D76CABF54998,老槐树面食村,裕华区槐安东路与翟营南大街交叉口西行180米路南(近经济学院),114.54154,38.0224,311,特色／地方风味餐厅,4,0,餐饮,中式餐饮,0,0.0
9382,B2094757D76CAAFC439C,桥东社区大排档,和平路与胜利北大街交叉口南行桥下,114.5500725,38.0543092,311,烧烤,0,0,餐饮,中式餐饮,0,0.0
9383,B2094757D76CAAFC4499,外滩风尚休闲餐厅,桥东区中山东路与大经街交叉口南300米(近南三条市场),114.54923,38.04347,311,西餐厅,0,0,餐饮,国际餐饮,0,0.0
9384,B2094757D76CAAFD4398,华北饭店,桥西区和平西路,114.46615,38.05953,311,四川菜,0,0,餐饮,中式餐饮,0,0.0
