poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster
B2094656D36AAAF5479E,安老太太符离集香鸡王老店,,114.50772,38.05289,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36AAAF5489D,温州独特熟食店(栗康街),,114.50771,38.05162,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36AAAF54892,道口烧鸡老店,,114.50771,38.05157,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36AAAF54998,黑龙江炖菜馆,,114.50771,38.05128,0311,东北菜,0,0,餐饮,中式餐饮,0
B2094656D36BA3FC429C,老大饭店,,114.50818,38.0536,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FC469B,金斗饭店,长安区园明路34号(栗康街口西侧),114.50746,38.04825,0311,东北菜,0,0,餐饮,中式餐饮,0
B2094656D36BA3FC479C,瑞祥庄,栗康街18号,114.50785,38.04487,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FD479C,南京紫燕桂花鸭,,114.5115,38.04456,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA3FE4092,天津灌汤小笼包,,114.51148,38.04752,0311,餐饮美食,1,1,餐饮,其它,0
B2094656D36BA3FE419E,金麦香饼店(建设北大街),,114.51148,38.04774,0311,糕饼店,0,0,餐饮,甜点饮品,0
B2094656D36BA3FF499D,顺德东北菜馆,,114.51533,38.05083,0311,东北菜,0,0,餐饮,中式餐饮,0
B2094656D36BA3F8429D,三佰碗土豆粉,,114.51665,38.05213,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3F8439B,仟惠家常菜馆,青园街16,114.51665,38.05223,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36AAAF44492,刘师傅正宗符离集香鸡老店,,114.50994,38.03152,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36AAAF4459E,志和园,,114.51058,38.03153,0311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
B2094656D36AAAF44998,聚香隆包子,,114.51184,38.02956,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36AAAF54098,老马包子铺(建设南大街),,114.51184,38.02788,0311,餐饮美食,0,0,餐饮,其它,0
