OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,C1km,C2km,C3km
2040,B2094656D365A4FB4292,储运公司小区(西门),,114.47779,38.06653,311,住宅区,1,0,小区,228,875,1963
2041,B2094656D365A4FB4692,石家庄市服务公司宿舍(西门),,114.48379,38.05771,311,住宅区,0,0,小区,282,1310,2775
2042,B2094656D365ABF84593,人民商场宿舍,,114.48249,38.07138,311,住宅区,1,0,小区,209,708,1693
2043,B2094656D365A4F4419B,电子部十三所宿舍(南门),兴凯路229,114.4729,38.05109,311,住宅区,4,1,小区,434,1365,2456
2044,B2094656D365A4F4419D,石家庄市三建公司宿舍(北门),,114.48975,38.05485,311,住宅区,0,0,小区,244,1490,3125
2045,B2094656D365A4F54193,石家庄市糖酒公司小区(南门),,114.48438,38.05656,311,住宅区,0,0,小区,285,1355,2814
2046,B2094656D365A4F54592,石厂小区(南门),,114.48907,38.07187,311,住宅区,1,0,小区,165,601,1613
2047,B2094656D06CA3FC4398,水印城,和平西路518号,114.45351,38.06097,311,住宅区,9,3,小区,199,679,1635
2048,B2094656D06CA3FC459D,成功广懋,燕郊京哈高速出口处南侧,114.51956,38.08664,311,住宅区,0,0,小区,123,325,580
2049,B2094656D368A5FB4699,西五里小区,,114.45414,38.00363,311,住宅区,7,2,小区,114,369,675
2050,B2094656D36AA2FD429C,和谐祥瑞,育红胡同1号,114.46424,38.05244,311,住宅区,1,0,小区,275,1156,2279
2051,B2094656D364A3F54199,河北省休干所一号楼,桃园路6,114.51739,38.08152,311,住宅区,6,4,小区,139,385,735
2052,B2094656D364A4FF4893,河北省林产品公司宿舍,红旗大街59,114.46025,38.03126,311,住宅区,0,0,小区,262,984,2159
2053,B2094656D364AAFF4298,造纸厂宿舍(北门),,114.49504,38.07203,311,住宅区,21,10,小区,130,627,1584
2054,B2094757D56FABFE429C,华府名邸,正定恒州北街与晨光路交叉口西南角,114.5668367,38.14724778,311,住宅区,164,94,小区,167,238,246
2055,B2094656D06CA3FD489F,万佳·丽都,华安西路38号,114.56204,38.16106,311,住宅区,133,51,小区,50,163,235
2056,B2094656D36AA3FC439C,石铁运校宿舍,,114.47827,38.0561,311,住宅区,104,41,小区,361,1264,2585
