OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster
1121,B2094757D76FAAFC419F,同祥城大酒店小洞天餐厅,黄河大道与天山大街交叉口东行200米路北(近28路车留村站),114.619540000000001,38.044789999999999,311,中餐厅,37,12,餐饮,中式餐饮,0
1122,B2094757D76CAAFE4199,川岛回转自助火锅,桥西区教育路与黎明街交叉口东行50米路南(近新百广场),114.593540000000004,38.010289999999998,311,火锅店,0,0,餐饮,中式餐饮,0
1123,B2094656D36AA5FE489E,宏达饺子楼,,114.612790000000004,38.044210000000000,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
1124,B2094656D36AA5FE4999,王府饭店,近郊高新区长江大道6号,114.602789999999999,38.036799999999999,311,四川菜,0,0,餐饮,中式餐饮,0
1125,B2094757D764A7FE419B,德克士,近郊藁城市昌盛南街13号,114.859269100000006,38.021562500000002,311,西餐厅,519,139,餐饮,国际餐饮,1
1126,B2094656D364A2FB4293,燕鑫火锅,近郊藁城市广场西侧(近新华书店),114.846900000000005,38.019990000000000,311,火锅店,24,10,餐饮,中式餐饮,1
1127,B2094457D068A3FF449C,麦当劳,河北省 石家庄市 石家庄市,114.906920000000000,37.982160000000000,311,餐饮美食,0,0,餐饮,其它,1
1128,B2094454D164A2FE479C,河北人家,河北省 石家庄市 槐安店,114.846410000000006,38.018509999999999,311,餐饮美食,0,0,餐饮,其它,1
1129,B2094454D164A2FE4999,河北人家,河北省 石家庄市 槐安店,114.846410000000006,38.018509999999999,311,餐饮美食,0,0,餐饮,其它,1
1130,B2094656D364A2FF469B,飘香蛋糕房(胜利东路),,114.854740000000007,38.031820000000003,311,糕饼店,2,0,餐饮,甜点饮品,1
1131,B2094656D364A2F8499C,重庆片片鱼冷火锅藁城分店,,114.851569999999995,38.032040000000002,311,四川菜,1,0,餐饮,中式餐饮,1
1132,B2094656D364A2F94493,四明茶社,,114.847329999999999,38.038310000000003,311,茶艺馆,85,18,餐饮,甜点饮品,1
1133,B2094656D364A2F4469F,雪之梦冰淇淋店,,114.849969999999999,38.035760000000003,311,冷饮店,7,2,餐饮,甜点饮品,1
1134,B2094656D364A2F5429A,大清花饺子藁城分店,,114.839630000000000,38.035699999999999,311,特色／地方风味餐厅,17,6,餐饮,中式餐饮,1
1135,B2094656D364A1FC4599,农机大酒楼,,114.834760000000003,38.020840000000000,311,综合酒楼,10,0,餐饮,中式餐饮,1
1136,B2094656D364A1FC459C,风味快餐,,114.836089999999999,38.020859999999999,311,中餐厅,1,0,餐饮,中式餐饮,1
1137,B2094656D364A1FE469A,焦庄建敏馒头坊,,114.858180000000004,38.027189999999997,311,餐饮美食,6,1,餐饮,其它,1
1138,B2094656D364A1FE499A,财神食代,,114.853170000000006,38.026009999999999,311,中餐厅,2,0,餐饮,中式餐饮,1
1139,B2094450D768ABFA499E,华润豆业,河北省 石家庄市 北马,114.819929999999999,38.024909999999998,311,餐饮美食,0,0,餐饮,其它,1
1140,B209475CD06DA0F54393,米莎贝尔 东开店,藁城市良村经济技术开发区安东街中段(石府酒店南邻),114.847052000000005,38.021655000000003,311,甜品店,1,0,餐饮,甜点饮品,1
1141,B209475CD06DA5F9449E,滋味坊,藳城市昌盛南街16号(近如家酒店),114.858999999999995,38.025640000000003,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,1
1142,B209475CD06DA5F94793,米莎贝尔 燕璟店,藁城市东城街(近市府路),114.852449100000001,38.035584900000003,311,甜品店,0,0,餐饮,甜点饮品,1
1143,B209475CD06DA5F9489F,江南淮扬菜馆,藁城市良村开发区开发大街(安中路口),114.855450000000005,38.031660000000002,311,中餐厅,0,0,餐饮,中式餐饮,1
1144,B209475CD06DA5FA4092,尚院81号,藁城市四明街(近工业路),114.851529999999997,38.025199999999998,311,中餐厅,0,0,餐饮,中式餐饮,1
1145,B209475CD36FA7FC4893,彼得芬 藁城店,藁城市四明街北段招待所斜对过(近原商业大厦),114.810090000000002,38.048710000000000,311,烧烤,0,0,餐饮,中式餐饮,1
1146,B209475CD36FABFD4693,百姓放心包子厅,藁城市通安街(维明超市对面),114.842579999999998,38.021340000000002,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,1
1147,B2094753D76AA6F94299,侯氏涮园(藁城店),石家庄市藁城市东城北街32号,114.852601000000007,38.031593999999998,311,火锅店,0,0,餐饮,中式餐饮,1
1148,B2094751DB6BA1FD4998,比德森自助美食汇,近郊藁城市四明北街85号(市府西路口),114.847690000000000,38.035260000000001,311,自助,0,0,餐饮,小吃快餐,1
1149,B2094751D369A3FC479B,北京汉丽轩烤肉超市(藁城店),近郊藁城市四明街北段招待所斜对过(近原商业大厦),114.810090000000002,38.048710000000000,311,烧烤,0,0,餐饮,中式餐饮,1
1150,B2094751D36AA6FF499F,河间正宗驴肉火烧,近郊藁城市台西楼区口西侧,114.810100000000006,38.048720000000003,311,快餐厅,0,0,餐饮,小吃快餐,1
1151,B2094751D265A3FA439B,三五羊肉馆,近郊藁城市廉州东路019号,114.857839999999996,38.021509999999999,311,快餐厅,0,0,餐饮,小吃快餐,1
1152,B2094751D265A2FA489A,绿野仙踪,近郊藁城市廉州东路东头(近行政服务中心),114.860399999999998,38.021970000000003,311,河北菜,0,0,餐饮,中式餐饮,1
1153,B2094757D46BA7FC429B,陕西汉中小吃,近郊藁城市府路(昌盛街口),114.852879999999999,38.035559999999997,311,快餐厅,0,0,餐饮,小吃快餐,1
1154,B2094757D46BA7FC4298,东北满意快餐,近郊藁城市府路(昌盛街口),114.851529999999997,38.035539999999997,311,快餐厅,0,0,餐饮,小吃快餐,1
1155,B2094757D465A7F84999,北京汉丽轩烤肉超市 藁城店,藁城市四明街北段招待所斜对过(近原商业大厦),114.848008300000004,38.023035999999998,311,烧烤,0,0,餐饮,中式餐饮,1
1156,B2094757D76CAAFD459B,篱笆墙酒馆,桥西区永安路与站前街交叉口西行200米路南(近客运总站),114.850120000000004,38.029809999999998,311,四川菜,0,0,餐饮,中式餐饮,1
1157,B2094757D76CAAFD469A,蜀都小帅府,桥西区永安路与站前街交叉口西行30米路北(近客运总站),114.850120000000004,38.029809999999998,311,四川菜,0,0,餐饮,中式餐饮,1
1158,B2094757D76DA2F44192,桃星小吃店,桥东区永安路与中华南大街交叉口东行400米路南(近客运总站),114.850120000000004,38.029809999999998,311,河北菜,0,0,餐饮,中式餐饮,1
1159,B2094757D76DA2F4469E,万盛源蛋糕城,桥西区永安路与站前街交叉口西行400米路南(近客运总站),114.850120000000004,38.029809999999998,311,甜品店,0,0,餐饮,甜点饮品,1
1160,B2094757D768A6FC489A,海南东山羊庄,近郊无极县城,114.839320000000001,38.016109999999998,311,火锅店,0,0,餐饮,中式餐饮,1
1161,B2094656D364A2FD4392,清真小肥羊,,114.836699999999993,38.035110000000003,311,清真餐馆,0,0,餐饮,中式餐饮,1
1162,B2094656D364A2FE419F,外贸宫面批发部,,114.841200000000001,38.029930000000000,311,餐饮美食,0,0,餐饮,其它,1
1163,B2094656D364A2FE4193,澳通宫面批发部,,114.841149999999999,38.031399999999998,311,餐饮美食,0,0,餐饮,其它,1
1164,B2094656D364A2FE429D,福建特香蛋糕屋藁城一分店,,114.842349999999996,38.031460000000003,311,糕饼店,0,0,餐饮,甜点饮品,1
1165,B2094656D364A2FE4499,烤鸭店,,114.844260000000006,38.031500000000001,311,餐饮美食,0,0,餐饮,其它,1
1166,B2094656D364A2FE449C,皇家精点坊连锁分店,,114.844880000000003,38.031509999999997,311,糕饼店,0,0,餐饮,甜点饮品,1
1167,B2094457D06EA7F5439A,巴厘岛咖啡,河北省 石家庄市 藁城市,114.840450000000004,37.985410000000002,311,餐饮美食,1,1,餐饮,其它,1
1168,B2094457D06EA0FF4392,巴厘岛咖啡,河北省 石家庄市 河北省藁城市,114.858789999999999,38.022910000000003,311,餐饮美食,0,0,餐饮,其它,1
1169,B2094457D06EA0FF449E,巴厘岛咖啡,河北省 石家庄市 藁城市,114.858789999999999,38.022919999999999,311,餐饮美食,1,1,餐饮,其它,1
1170,B2094656D364A2FD4592,南街建国快餐,,114.836799999999997,38.031709999999997,311,中餐厅,0,0,餐饮,中式餐饮,1
1171,B2094656D364A2FD469D,知足常乐音乐茶语,,114.835120000000003,38.031680000000001,311,茶艺馆,0,0,餐饮,甜点饮品,1
1172,B2094656D364A2FD489B,东来顺快餐,,114.836429999999993,38.031340000000000,311,中餐厅,0,0,餐饮,中式餐饮,1
1173,B2094656D364A2FD489F,胜西快餐,,114.836810000000000,38.031350000000003,311,中餐厅,0,0,餐饮,中式餐饮,1
1174,B2094656D364A2FE409B,伊顺斋烧烤涮,,114.838419999999999,38.031379999999999,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,1
1175,B2094656D364A2FE4098,骨里香扒鸡店,,114.839349999999996,38.031390000000002,311,餐饮美食,0,0,餐饮,其它,1
1176,B2094656D364A2FE409E,红灯笼饭庄,,114.840459999999993,38.031419999999997,311,中餐厅,0,0,餐饮,中式餐饮,1
1177,B2094757D76AA7FC4698,百萃园饺子城,近郊藁城市通安西区,114.842280000000002,38.018580000000000,311,快餐厅,1,1,餐饮,小吃快餐,1
