OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst
1311,B2094656D365A5F84098,国大全城(希望绿洲公园东北),,114.576040000000006,38.014949999999999,311,住宅区,672,212,小区
1312,B2094757D16BA1F44392,石府小区,石家庄槐中路462号,114.551164000000000,38.028956000000001,311,住宅区,277,68,小区
1313,B2094656D06CA2F44292,亚龙花园,石家庄胜利北大街和光华路交汇处,114.553579999999997,38.071480000000001,311,住宅区,851,318,小区
1314,B2094757D16DABFA459E,冀兴尊园,长安区和平路和广安大街交叉口北侧,114.542876656999994,38.051082162500002,311,住宅区,379,154,小区
1315,B2094656D36BA7F94992,东方观邸,谈固南大街161号,114.573340000000002,38.015990000000002,311,住宅区,329,177,小区
1316,B2094656D364ABFD4998,神兴小区(东岗路),东岗路132,114.557900000000004,38.015110000000000,311,住宅区,266,61,小区
1317,B2094757D16CA2FA4398,空中花园,桥东区石市翟营南大街与塔南路交叉口(六路终点站南行200米),114.554499059999998,38.009198179999999,311,住宅区,8252,4093,小区
1318,B2094656D36BA6FB4299,国际城(槐中路),裕华东路与谈固大街交汇处,114.571282999999994,38.031582999999998,311,住宅区,2304,1005,小区
1319,B2094757D56FA0F9409C,西美第五大道,中国河北省石家庄市区,114.564656029999995,38.023747559999997,311,住宅区,4237,2383,小区
1320,B2094656D36BAAFC4298,金谈固家园(中山东路),中山东路600号,114.573729999999998,38.044440000000002,311,住宅区,2966,1319,小区
1321,B2094656D365ABFF439B,中景.盛世长安,长安区和平东路与翟营大街交叉口西北角(紧邻和平世家),114.550529999999995,38.053989999999999,311,住宅区,2444,1051,小区
1322,B2094656D06CA1FC479E,书香华苑,和平路与建华大街交叉口,114.544709999999995,38.054139999999997,311,住宅区,776,373,小区
1323,B2094656D36BA7F94492,新天地自然康城,长安区塔北路99号,114.560379999999995,38.011450000000004,311,住宅区,1816,1385,小区
1324,B2094656D364A3FF4898,亚龙花园北翟营新村,石家庄胜利北大街和光华路交汇处,114.557370000000006,38.069009999999999,311,住宅区,297,83,小区
1325,B2094656D36BA7FA4093,小马新村,东岗路293,114.560789999999997,38.016810000000000,311,住宅区,594,253,小区
